순위,종목명,현재가
1,삼성전자,"48,400"
2,SK하이닉스,"87,000"
3,셀트리온,"289,500"
4,삼성전자우,"38,400"
5,POSCO,"363,500"
6,현대차,"136,000"
7,삼성바이오로직스,"413,500"
8,LG화학,"377,500"
9,삼성물산,"123,000"
10,NAVER,"694,000"
11,LG생활건강,"1,450,000"
12,한국전력,"35,250"
13,KB금융,"54,100"
14,현대모비스,"221,000"
15,신한지주,"45,250"
16,삼성생명,"102,000"
17,SK이노베이션,"214,000"
18,SK텔레콤,"240,000"
19,SK,"270,500"
20,아모레퍼시픽,"317,000"
21,삼성에스디에스,"208,500"
22,삼성SDI,"234,000"
23,LG전자,"93,200"
24,KT&G;,"100,500"
25,하나금융지주,"44,000"
26,기아차,"32,250"
27,LG,"75,400"
28,넷마블,"149,000"
29,롯데케미칼,"362,500"
30,S-Oil,"109,000"
